service_provider,technology,download/upload,speed,signal_strength,state,Month,Year
VODAFONE,4G,download,2267,-101,Kerala,July,2019
VODAFONE,4G,download,11680,-101,Kerala,July,2019
VODAFONE,4G,download,6465,-108,Kerala,July,2019
VODAFONE,4G,download,942,-99,Kerala,July,2019
VODAFONE,4G,download,5140,-78,Kerala,July,2019
VODAFONE,4G,download,1873,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,197,-112,Kerala,July,2019
VODAFONE,4G,download,2507,-99,Kerala,July,2019
VODAFONE,4G,download,3113,-105,Kerala,July,2019
VODAFONE,4G,download,13050,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,13626,-108,Kerala,July,2019
VODAFONE,4G,download,4166,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,1691,-112,Kerala,July,2019
VODAFONE,4G,download,24878,-99,Kerala,July,2019
VODAFONE,4G,download,2424,-109,Kerala,July,2019
VODAFONE,4G,download,1227,-103,Kerala,July,2019
VODAFONE,4G,download,5332,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,1086,-108,Kerala,July,2019
VODAFONE,4G,download,55,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,6044,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,200,-103,Kerala,July,2019
VODAFONE,4G,download,7308,-107,Kerala,July,2019
VODAFONE,4G,download,11051,-75,Kerala,July,2019
VODAFONE,4G,download,924,-90,Kerala,July,2019
VODAFONE,4G,download,790,-107,Kerala,July,2019
VODAFONE,4G,download,1998,-108,Kerala,July,2019
VODAFONE,4G,download,2158,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,1304,-67,Kerala,July,2019
VODAFONE,4G,download,423,-105,Kerala,July,2019
VODAFONE,4G,download,19610,-108,Kerala,July,2019
VODAFONE,4G,download,133,-112,Kerala,July,2019
VODAFONE,4G,download,199,-103,Kerala,July,2019
VODAFONE,4G,download,22858,-92,Kerala,July,2019
VODAFONE,4G,download,11836,-103,Kerala,July,2019
VODAFONE,4G,download,3601,-108,Kerala,July,2019
VODAFONE,4G,download,5249,-97,Kerala,July,2019
VODAFONE,4G,download,6131,-93,Kerala,July,2019
VODAFONE,4G,download,7481,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,3578,-112,Kerala,July,2019
VODAFONE,4G,download,447,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,8797,-102,Kerala,July,2019
VODAFONE,4G,download,13566,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,280,-100,Kerala,July,2019
VODAFONE,4G,download,10662,-86,Kerala,July,2019
VODAFONE,4G,download,513,-101,Kerala,July,2019
VODAFONE,4G,download,14238,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,4019,-95,Kerala,July,2019
VODAFONE,4G,download,6355,-109,Kerala,July,2019
VODAFONE,4G,download,29286,-108,Kerala,July,2019
VODAFONE,4G,download,43206,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,2174,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,514,-95,Kerala,July,2019
VODAFONE,4G,download,3173,-110,Kerala,July,2019
VODAFONE,4G,download,13017,-86,Kerala,July,2019
VODAFONE,4G,download,3783,-86,Kerala,July,2019
VODAFONE,4G,download,14742,-83,Kerala,July,2019
VODAFONE,4G,download,4849,-98,Kerala,July,2019
VODAFONE,4G,download,18676,-100,Kerala,July,2019
VODAFONE,4G,download,1500,-107,Kerala,July,2019
VODAFONE,4G,download,26560,-77,Kerala,July,2019
VODAFONE,4G,download,2229,-104,Kerala,July,2019
VODAFONE,4G,download,2093,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,6342,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,264,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,5736,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,7158,-111,Kerala,July,2019
VODAFONE,4G,download,8336,-78,Kerala,July,2019
VODAFONE,4G,download,9996,-101,Kerala,July,2019
VODAFONE,4G,download,1420,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,4457,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,5056,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,420,-87,Kerala,July,2019
VODAFONE,4G,download,14292,-96,Kerala,July,2019
VODAFONE,4G,download,648,-103,Kerala,July,2019
VODAFONE,4G,download,885,-103,Kerala,July,2019
VODAFONE,4G,download,6070,-105,Kerala,July,2019
VODAFONE,4G,download,6180,-108,Kerala,July,2019
VODAFONE,4G,download,288,-111,Kerala,July,2019
VODAFONE,4G,download,1890,-83,Kerala,July,2019
VODAFONE,4G,download,16671,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,3593,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,8753,-112,Kerala,July,2019
VODAFONE,4G,download,2229,-110,Kerala,July,2019
VODAFONE,4G,download,8997,-104,Kerala,July,2019
VODAFONE,4G,download,1857,-105,Kerala,July,2019
VODAFONE,4G,download,111,-98,Kerala,July,2019
VODAFONE,4G,download,6924,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,16955,-108,Kerala,July,2019
VODAFONE,4G,download,1627,-98,Kerala,July,2019
VODAFONE,4G,download,10678,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,5146,-92,Kerala,July,2019
VODAFONE,4G,download,2417,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,13310,-89,Kerala,July,2019
VODAFONE,4G,download,945,-109,Kerala,July,2019
VODAFONE,4G,download,4905,-110,Kerala,July,2019
VODAFONE,4G,download,12032,-110,Kerala,July,2019
VODAFONE,4G,download,15167,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,36435,-97,Kerala,July,2019
VODAFONE,4G,download,6727,-105,Kerala,July,2019
VODAFONE,4G,download,25330,-99,Kerala,July,2019
VODAFONE,4G,download,17495,-100.3473684,Kerala,July,2019
VODAFONE,4G,download,247,-102,Kerala,July,2019
