service_provider,technology,download/upload,speed,signal_strength,state,Month,Year
AIRTEL,4G,download,824,-94,Kerala,March,2019
AIRTEL,4G,download,30561,-105,Kerala,March,2019
AIRTEL,4G,download,1098,-98.05,Kerala,March,2019
AIRTEL,4G,download,31,-76,Kerala,March,2019
AIRTEL,4G,download,5009,-108,Kerala,March,2019
AIRTEL,4G,download,3480,-98.05,Kerala,March,2019
AIRTEL,4G,download,32691,-99,Kerala,March,2019
AIRTEL,4G,download,1067,-107,Kerala,March,2019
AIRTEL,4G,download,2676,-90,Kerala,March,2019
AIRTEL,4G,download,4225,-98.05,Kerala,March,2019
AIRTEL,4G,download,76397,-99,Kerala,March,2019
AIRTEL,4G,download,933,-110,Kerala,March,2019
AIRTEL,4G,download,5564,-103,Kerala,March,2019
AIRTEL,4G,download,297,-75,Kerala,March,2019
AIRTEL,4G,download,18658,-108,Kerala,March,2019
AIRTEL,4G,download,333,-98,Kerala,March,2019
AIRTEL,4G,download,18136,-100,Kerala,March,2019
AIRTEL,4G,download,14259,-89,Kerala,March,2019
AIRTEL,4G,download,18660,-98,Kerala,March,2019
AIRTEL,4G,download,1259,-98.05,Kerala,March,2019
AIRTEL,4G,download,11201,-105,Kerala,March,2019
AIRTEL,4G,download,454,-110,Kerala,March,2019
AIRTEL,4G,download,348,-98.05,Kerala,March,2019
AIRTEL,4G,download,11158,-99,Kerala,March,2019
AIRTEL,4G,download,7831,-107,Kerala,March,2019
AIRTEL,4G,download,14718,-103,Kerala,March,2019
AIRTEL,4G,download,301,-98.05,Kerala,March,2019
AIRTEL,4G,download,32716,-101,Kerala,March,2019
AIRTEL,4G,download,5471,-77,Kerala,March,2019
AIRTEL,4G,download,34812,-76,Kerala,March,2019
AIRTEL,4G,download,436,-98.05,Kerala,March,2019
AIRTEL,4G,download,1252,-97,Kerala,March,2019
AIRTEL,4G,download,1861,-100,Kerala,March,2019
AIRTEL,4G,download,7609,-108,Kerala,March,2019
AIRTEL,4G,download,34864,-92,Kerala,March,2019
AIRTEL,4G,download,27736,-79,Kerala,March,2019
AIRTEL,4G,download,835,-103,Kerala,March,2019
AIRTEL,4G,download,194,-102,Kerala,March,2019
AIRTEL,4G,download,2257,-105,Kerala,March,2019
AIRTEL,4G,download,13874,-106,Kerala,March,2019
AIRTEL,4G,download,24090,-85,Kerala,March,2019
AIRTEL,4G,download,8153,-107,Kerala,March,2019
AIRTEL,4G,download,37165,-110,Kerala,March,2019
AIRTEL,4G,download,3931,-98.05,Kerala,March,2019
AIRTEL,4G,download,469,-107,Kerala,March,2019
AIRTEL,4G,download,18316,-95,Kerala,March,2019
AIRTEL,4G,download,5561,-98.05,Kerala,March,2019
AIRTEL,4G,download,19730,-83,Kerala,March,2019
AIRTEL,4G,download,10168,-97,Kerala,March,2019
AIRTEL,4G,download,44116,-98,Kerala,March,2019
AIRTEL,4G,download,1525,-109,Kerala,March,2019
AIRTEL,4G,download,6974,-98.05,Kerala,March,2019
AIRTEL,4G,download,9107,-104,Kerala,March,2019
AIRTEL,4G,download,9368,-110,Kerala,March,2019
AIRTEL,4G,download,4041,-83,Kerala,March,2019
AIRTEL,4G,download,6140,-98.05,Kerala,March,2019
AIRTEL,4G,download,1539,-98.05,Kerala,March,2019
AIRTEL,4G,download,12667,-88,Kerala,March,2019
AIRTEL,4G,download,1784,-106,Kerala,March,2019
AIRTEL,4G,download,490,-97,Kerala,March,2019
AIRTEL,4G,download,11646,-102,Kerala,March,2019
AIRTEL,4G,download,6110,-92,Kerala,March,2019
AIRTEL,4G,download,5135,-97,Kerala,March,2019
AIRTEL,4G,download,433,-93,Kerala,March,2019
AIRTEL,4G,download,15128,-91,Kerala,March,2019
AIRTEL,4G,download,27085,-111,Kerala,March,2019
AIRTEL,4G,download,734,-107,Kerala,March,2019
AIRTEL,4G,download,35,-98.05,Kerala,March,2019
AIRTEL,4G,download,22106,-110,Kerala,March,2019
AIRTEL,4G,download,11292,-85,Kerala,March,2019
AIRTEL,4G,download,11472,-98.05,Kerala,March,2019
AIRTEL,4G,download,1023,-88,Kerala,March,2019
AIRTEL,4G,download,5440,-103,Kerala,March,2019
AIRTEL,4G,download,1270,-107,Kerala,March,2019
AIRTEL,4G,download,7260,-98.05,Kerala,March,2019
AIRTEL,4G,download,30773,-99,Kerala,March,2019
AIRTEL,4G,download,2262,-108,Kerala,March,2019
AIRTEL,4G,download,15505,-104,Kerala,March,2019
AIRTEL,4G,download,334,-98.05,Kerala,March,2019
AIRTEL,4G,download,25595,-88,Kerala,March,2019
AIRTEL,4G,download,2514,-88,Kerala,March,2019
AIRTEL,4G,download,18007,-71,Kerala,March,2019
AIRTEL,4G,download,70383,-80,Kerala,March,2019
AIRTEL,4G,download,109,-109,Kerala,March,2019
AIRTEL,4G,download,23,-103,Kerala,March,2019
AIRTEL,4G,download,15669,-97,Kerala,March,2019
AIRTEL,4G,download,28360,-86,Kerala,March,2019
AIRTEL,4G,download,15713,-103,Kerala,March,2019
AIRTEL,4G,download,26634,-93,Kerala,March,2019
AIRTEL,4G,download,30260,-105,Kerala,March,2019
AIRTEL,4G,download,12964,-98.05,Kerala,March,2019
AIRTEL,4G,download,518,-98.05,Kerala,March,2019
AIRTEL,4G,download,4427,-95,Kerala,March,2019
AIRTEL,4G,download,2317,-111,Kerala,March,2019
AIRTEL,4G,download,53621,-93,Kerala,March,2019
AIRTEL,4G,download,430,-112,Kerala,March,2019
AIRTEL,4G,download,3390,-84,Kerala,March,2019
AIRTEL,4G,download,7401,-98.05,Kerala,March,2019
AIRTEL,4G,download,222,-98.05,Kerala,March,2019
AIRTEL,4G,download,11933,-107,Kerala,March,2019
AIRTEL,4G,download,10519,-111,Kerala,March,2019
AIRTEL,4G,download,32278,-95,Kerala,March,2019
AIRTEL,4G,download,1694,-112,Kerala,March,2019
AIRTEL,4G,download,8532,-99,Kerala,March,2019
AIRTEL,4G,download,899,-74,Kerala,March,2019
AIRTEL,4G,download,3015,-104,Kerala,March,2019
AIRTEL,4G,download,526,-97,Kerala,March,2019
AIRTEL,4G,download,60100,-72,Kerala,March,2019
AIRTEL,4G,download,20151,-103,Kerala,March,2019
AIRTEL,4G,download,4665,-99,Kerala,March,2019
AIRTEL,4G,download,820,-98.05,Kerala,March,2019
AIRTEL,4G,download,51087,-97,Kerala,March,2019
AIRTEL,4G,download,11326,-105,Kerala,March,2019
AIRTEL,4G,download,2870,-104,Kerala,March,2019
AIRTEL,4G,download,51521,-105,Kerala,March,2019
AIRTEL,4G,download,1365,-91,Kerala,March,2019
AIRTEL,4G,download,21881,-98.05,Kerala,March,2019
AIRTEL,4G,download,19951,-100,Kerala,March,2019
AIRTEL,4G,download,4072,-98.05,Kerala,March,2019
AIRTEL,4G,download,2090,-111,Kerala,March,2019
AIRTEL,4G,download,2008,-98,Kerala,March,2019
AIRTEL,4G,download,33747,-94,Kerala,March,2019
AIRTEL,4G,download,280,-104,Kerala,March,2019
AIRTEL,4G,download,14993,-98.05,Kerala,March,2019
AIRTEL,4G,upload,3315,-112,Kerala,March,2019
AIRTEL,4G,upload,5720,-91,Kerala,March,2019
AIRTEL,4G,upload,25,-93,Kerala,March,2019
AIRTEL,4G,upload,118,-81,Kerala,March,2019
AIRTEL,4G,upload,1294,-106,Kerala,March,2019
AIRTEL,4G,upload,73,-98.80412371,Kerala,March,2019
AIRTEL,4G,upload,3,-98.80412371,Kerala,March,2019
AIRTEL,4G,upload,3777,-102,Kerala,March,2019
AIRTEL,4G,upload,2695,-83,Kerala,March,2019
AIRTEL,4G,upload,4866,-104,Kerala,March,2019
AIRTEL,4G,upload,1629,-101,Kerala,March,2019
AIRTEL,4G,upload,2707,-98.80412371,Kerala,March,2019
AIRTEL,4G,upload,3811,-109,Kerala,March,2019
AIRTEL,4G,upload,269,-106,Kerala,March,2019
AIRTEL,4G,upload,1193,-98.80412371,Kerala,March,2019
AIRTEL,4G,upload,1598,-100,Kerala,March,2019
AIRTEL,4G,upload,2466,-104,Kerala,March,2019
AIRTEL,4G,upload,1426,-110,Kerala,March,2019
AIRTEL,4G,upload,8064,-111,Kerala,March,2019
AIRTEL,4G,upload,7399,-94,Kerala,March,2019
AIRTEL,4G,upload,7694,-89,Kerala,March,2019
AIRTEL,4G,upload,1424,-98.80412371,Kerala,March,2019
AIRTEL,4G,upload,6975,-88,Kerala,March,2019
