service_provider,technology,download/upload,speed,signal_strength,state,Month,Year
AIRTEL,4G,upload,2313,-105,Kerala,May,2019
AIRTEL,4G,upload,692,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,2668,-100,Kerala,May,2019
AIRTEL,4G,upload,4732,-99,Kerala,May,2019
AIRTEL,4G,upload,6476,-75,Kerala,May,2019
AIRTEL,4G,upload,4120,-111,Kerala,May,2019
AIRTEL,4G,upload,39,-97,Kerala,May,2019
AIRTEL,4G,upload,5309,-102,Kerala,May,2019
AIRTEL,4G,upload,6576,-88,Kerala,May,2019
AIRTEL,4G,upload,2967,-101,Kerala,May,2019
AIRTEL,4G,upload,1323,-91,Kerala,May,2019
AIRTEL,4G,upload,244,-110,Kerala,May,2019
AIRTEL,4G,upload,5121,-100,Kerala,May,2019
AIRTEL,4G,upload,2112,-108,Kerala,May,2019
AIRTEL,4G,upload,151,-108,Kerala,May,2019
AIRTEL,4G,upload,395,-111,Kerala,May,2019
AIRTEL,4G,upload,6586,-89,Kerala,May,2019
AIRTEL,4G,upload,196,-112,Kerala,May,2019
AIRTEL,4G,upload,6456,-96,Kerala,May,2019
AIRTEL,4G,upload,4901,-91,Kerala,May,2019
AIRTEL,4G,upload,1018,-88,Kerala,May,2019
AIRTEL,4G,upload,1734,-104,Kerala,May,2019
AIRTEL,4G,upload,5588,-95,Kerala,May,2019
AIRTEL,4G,upload,12,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,2727,-100,Kerala,May,2019
AIRTEL,4G,upload,5688,-88,Kerala,May,2019
AIRTEL,4G,upload,588,-108,Kerala,May,2019
AIRTEL,4G,upload,266,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,650,-111,Kerala,May,2019
AIRTEL,4G,upload,1144,-103,Kerala,May,2019
AIRTEL,4G,upload,977,-111,Kerala,May,2019
AIRTEL,4G,upload,1961,-100,Kerala,May,2019
AIRTEL,4G,upload,1531,-103,Kerala,May,2019
AIRTEL,4G,upload,682,-100,Kerala,May,2019
AIRTEL,4G,upload,1217,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,452,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,633,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,3496,-91,Kerala,May,2019
AIRTEL,4G,upload,8073,-88,Kerala,May,2019
AIRTEL,4G,upload,1055,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,128,-109,Kerala,May,2019
AIRTEL,4G,upload,6267,-91,Kerala,May,2019
AIRTEL,4G,upload,5699,-86,Kerala,May,2019
AIRTEL,4G,upload,271,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,159,-110,Kerala,May,2019
AIRTEL,4G,upload,1604,-112,Kerala,May,2019
AIRTEL,4G,upload,8,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,8863,-109,Kerala,May,2019
AIRTEL,4G,upload,2194,-98,Kerala,May,2019
AIRTEL,4G,upload,53,-104,Kerala,May,2019
AIRTEL,4G,upload,5278,-97,Kerala,May,2019
AIRTEL,4G,upload,1555,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,2363,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,2026,-100,Kerala,May,2019
AIRTEL,4G,upload,3139,-102,Kerala,May,2019
AIRTEL,4G,upload,478,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,169,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,101,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,172,-112,Kerala,May,2019
AIRTEL,4G,upload,90,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,53,-101.3898305,Kerala,May,2019
AIRTEL,4G,upload,1079,-110,Kerala,May,2019
AIRTEL,4G,upload,435,-106,Kerala,May,2019
AIRTEL,4G,upload,92,-111,Kerala,May,2019
AIRTEL,4G,upload,1241,-100,Kerala,May,2019
