service_provider,technology,d_u,speed,signal_strength,state,Month,Year
JIO,4G,download,62441.0,-65.0,Gujarat,July,2018
JIO,4G,download,75071.00000000001,-62.0,Gujarat,July,2018
JIO,4G,download,77141.0,-66.0,Gujarat,July,2018
JIO,4G,download,80360.0,-63.0,Gujarat,July,2018
JIO,4G,download,74237.0,-59.0,Gujarat,July,2018
JIO,4G,download,67803.0,-77.0,Gujarat,July,2018
JIO,4G,download,71231.0,-59.0,Gujarat,July,2018
JIO,4G,download,58179.0,-59.0,Gujarat,July,2018
JIO,4G,download,62673.0,-74.0,Gujarat,July,2018
JIO,4G,download,63445.0,-66.0,Gujarat,July,2018
JIO,4G,download,67463.0,-82.0,Gujarat,July,2018
JIO,4G,download,58582.0,-64.0,Gujarat,July,2018
JIO,4G,download,68145.0,-77.0,Gujarat,July,2018
JIO,4G,download,62425.0,-59.0,Gujarat,July,2018
JIO,4G,download,67152.0,-82.0,Gujarat,July,2018
JIO,4G,download,67206.0,-67.0,Gujarat,July,2018
JIO,4G,download,67797.0,-77.0,Gujarat,July,2018
JIO,4G,download,60531.0,-62.0,Gujarat,July,2018
JIO,4G,download,67659.0,-74.0,Gujarat,July,2018
JIO,4G,download,66171.0,-78.0,Gujarat,July,2018
JIO,4G,download,74007.0,-59.0,Gujarat,July,2018
JIO,4G,download,67534.0,-65.0,Gujarat,July,2018
JIO,4G,download,70227.0,-65.0,Gujarat,July,2018
JIO,4G,download,74475.0,-72.0,Gujarat,July,2018
JIO,4G,download,67772.0,-67.0,Gujarat,July,2018
JIO,4G,download,66185.0,-78.0,Gujarat,July,2018
JIO,4G,download,74858.0,-59.0,Gujarat,July,2018
JIO,4G,download,72191.0,-62.0,Gujarat,July,2018
JIO,4G,download,62374.0,-65.0,Gujarat,July,2018
JIO,4G,download,59154.0,-59.0,Gujarat,July,2018
JIO,4G,download,74696.0,-59.0,Gujarat,July,2018
JIO,4G,download,68113.0,-65.0,Gujarat,July,2018
JIO,4G,download,57628.0,-59.0,Gujarat,July,2018
JIO,4G,download,73366.0,-60.0,Gujarat,July,2018
JIO,4G,download,58786.0,-59.0,Gujarat,July,2018
JIO,4G,download,67391.0,-65.0,Gujarat,July,2018
JIO,4G,download,74147.0,-61.0,Gujarat,July,2018
JIO,4G,download,58793.0,-61.0,Gujarat,July,2018
JIO,4G,download,75023.0,-61.0,Gujarat,July,2018
JIO,4G,download,61579.0,-72.0,Gujarat,July,2018
JIO,4G,download,58481.0,-72.0,Gujarat,July,2018
JIO,4G,download,59324.0,-70.0,Gujarat,July,2018
JIO,4G,download,69002.0,-65.0,Gujarat,July,2018
JIO,4G,download,62221.0,-82.0,Gujarat,July,2018
JIO,4G,download,60680.0,-61.0,Gujarat,July,2018
JIO,4G,download,69584.0,-67.0,Gujarat,July,2018
JIO,4G,download,68981.0,-73.0,Gujarat,July,2018
JIO,4G,download,60845.0,-62.0,Gujarat,July,2018
JIO,4G,download,66577.0,-65.0,Gujarat,July,2018
JIO,4G,download,67819.0,-65.0,Gujarat,July,2018
JIO,4G,download,58514.0,-59.0,Gujarat,July,2018
JIO,4G,download,79336.0,-74.0,Gujarat,July,2018
JIO,4G,download,74459.0,-86.0,Gujarat,July,2018
JIO,4G,download,66665.0,-65.0,Gujarat,July,2018
JIO,4G,download,61122.0,-76.0,Gujarat,July,2018
JIO,4G,download,77963.0,-65.0,Gujarat,July,2018
JIO,4G,download,65466.0,-82.0,Gujarat,July,2018
JIO,4G,download,61194.0,-61.0,Gujarat,July,2018
JIO,4G,download,63767.0,-77.0,Gujarat,July,2018
JIO,4G,download,66523.0,-65.0,Gujarat,July,2018
JIO,4G,download,76207.0,-62.0,Gujarat,July,2018
JIO,4G,download,68016.0,-77.0,Gujarat,July,2018
JIO,4G,download,61588.0,-62.0,Gujarat,July,2018
JIO,4G,download,68097.0,-66.0,Gujarat,July,2018
JIO,4G,download,68032.0,-67.0,Gujarat,July,2018
JIO,4G,download,63337.0,-64.0,Gujarat,July,2018
JIO,4G,download,57829.0,-74.0,Gujarat,July,2018
JIO,4G,download,63222.0,-74.0,Gujarat,July,2018
JIO,4G,download,63412.0,-72.0,Gujarat,July,2018
JIO,4G,download,67355.0,-66.0,Gujarat,July,2018
JIO,4G,download,67428.0,-82.0,Gujarat,July,2018
JIO,4G,download,67283.0,-67.0,Gujarat,July,2018
JIO,4G,download,67884.0,-77.0,Gujarat,July,2018
JIO,4G,download,67230.0,-74.0,Gujarat,July,2018
JIO,4G,download,68137.0,-64.0,Gujarat,July,2018
JIO,4G,download,78338.0,-65.0,Gujarat,July,2018
JIO,4G,download,65193.0,-78.0,Gujarat,July,2018
JIO,4G,download,74556.0,-59.0,Gujarat,July,2018
JIO,4G,download,66095.0,-78.0,Gujarat,July,2018
JIO,4G,download,58349.0,-61.0,Gujarat,July,2018
JIO,4G,download,58857.0,-72.0,Gujarat,July,2018
JIO,4G,download,70788.0,-61.0,Gujarat,July,2018
JIO,4G,download,59425.0,-62.0,Gujarat,July,2018
JIO,4G,download,69852.0,-65.0,Gujarat,July,2018
JIO,4G,download,74546.00000000001,-60.0,Gujarat,July,2018
JIO,4G,download,57877.0,-59.0,Gujarat,July,2018
JIO,4G,download,58864.0,-64.0,Gujarat,July,2018
JIO,4G,download,67186.0,-66.0,Gujarat,July,2018
JIO,4G,download,65834.0,-74.0,Gujarat,July,2018
JIO,4G,download,58759.0,-59.0,Gujarat,July,2018
JIO,4G,download,67753.0,-67.0,Gujarat,July,2018
JIO,4G,download,67217.0,-66.0,Gujarat,July,2018
JIO,4G,download,67621.0,-78.0,Gujarat,July,2018
JIO,4G,download,68825.0,-67.0,Gujarat,July,2018
JIO,4G,download,73903.0,-61.0,Gujarat,July,2018
JIO,4G,download,79969.0,-77.0,Gujarat,July,2018
JIO,4G,download,79406.0,-96.0,Gujarat,July,2018
JIO,4G,download,65181.0,-78.0,Gujarat,July,2018
JIO,4G,download,66377.0,-74.0,Gujarat,July,2018
JIO,4G,download,57558.0,-60.0,Gujarat,July,2018
JIO,4G,download,75371.00000000001,-59.0,Gujarat,July,2018
JIO,4G,download,60269.0,-62.0,Gujarat,July,2018
JIO,4G,download,64531.0,-79.0,Gujarat,July,2018
JIO,4G,download,67770.0,-77.0,Gujarat,July,2018
JIO,4G,download,67883.0,-65.0,Gujarat,July,2018
JIO,4G,download,66551.0,-90.0,Gujarat,July,2018
JIO,4G,download,61073.0,-77.0,Gujarat,July,2018
JIO,4G,download,59605.0,-67.0,Gujarat,July,2018
JIO,4G,download,74362.0,-62.0,Gujarat,July,2018
JIO,4G,download,69746.0,-68.0,Gujarat,July,2018
JIO,4G,download,58276.0,-60.0,Gujarat,July,2018
JIO,4G,download,74190.0,-61.0,Gujarat,July,2018
JIO,4G,download,66630.0,-81.0,Gujarat,July,2018
JIO,4G,download,67062.0,-82.0,Gujarat,July,2018
JIO,4G,download,80023.0,-62.0,Gujarat,July,2018
JIO,4G,download,67827.0,-59.0,Gujarat,July,2018
JIO,4G,download,67045.0,-77.0,Gujarat,July,2018
JIO,4G,download,59021.0,-59.0,Gujarat,July,2018
JIO,4G,download,74364.00000000001,-59.0,Gujarat,July,2018
JIO,4G,download,77872.0,-65.0,Gujarat,July,2018
JIO,4G,download,58912.0,-60.0,Gujarat,July,2018
JIO,4G,download,77498.0,-59.0,Gujarat,July,2018
JIO,4G,download,65890.0,-65.0,Gujarat,July,2018
JIO,4G,download,66850.0,-77.0,Gujarat,July,2018
JIO,4G,download,58223.0,-63.0,Gujarat,July,2018
JIO,4G,download,58159.0,-61.0,Gujarat,July,2018
JIO,4G,download,58931.0,-59.0,Gujarat,July,2018
JIO,4G,download,58568.0,-65.0,Gujarat,July,2018
JIO,4G,download,75397.00000000001,-60.0,Gujarat,July,2018
JIO,4G,download,60971.0,-64.0,Gujarat,July,2018
JIO,4G,download,67408.0,-82.0,Gujarat,July,2018
JIO,4G,download,78308.0,-63.0,Gujarat,July,2018
JIO,4G,download,67676.0,-65.0,Gujarat,July,2018
JIO,4G,download,74765.0,-74.0,Gujarat,July,2018
JIO,4G,download,59889.0,-65.0,Gujarat,July,2018
JIO,4G,download,68833.0,-60.0,Gujarat,July,2018
JIO,4G,download,62266.0,-65.0,Gujarat,July,2018
JIO,4G,download,59045.0,-65.0,Gujarat,July,2018
JIO,4G,download,60225.0,-82.0,Gujarat,July,2018
JIO,4G,download,61732.0,-65.0,Gujarat,July,2018
JIO,4G,download,64760.0,-65.0,Gujarat,July,2018
JIO,4G,download,77142.0,-59.0,Gujarat,July,2018
JIO,4G,download,57681.0,-68.0,Gujarat,July,2018
JIO,4G,download,59418.0,-78.0,Gujarat,July,2018
JIO,4G,download,58114.0,-70.0,Gujarat,July,2018
JIO,4G,download,72065.0,-59.0,Gujarat,July,2018
JIO,4G,download,58235.0,-59.0,Gujarat,July,2018
JIO,4G,download,74450.0,-61.0,Gujarat,July,2018
JIO,4G,download,58621.0,-59.0,Gujarat,July,2018
JIO,4G,download,72334.0,-59.0,Gujarat,July,2018
JIO,4G,download,68110.0,-68.0,Gujarat,July,2018
JIO,4G,download,59093.0,-74.0,Gujarat,July,2018
JIO,4G,download,58084.0,-59.0,Gujarat,July,2018
JIO,4G,download,66544.0,-74.0,Gujarat,July,2018
JIO,4G,download,66088.0,-65.0,Gujarat,July,2018
JIO,4G,download,68059.0,-68.0,Gujarat,July,2018
JIO,4G,download,66269.0,-78.0,Gujarat,July,2018
JIO,4G,download,73964.0,-61.0,Gujarat,July,2018
JIO,4G,download,57634.0,-56.0,Gujarat,July,2018
JIO,4G,download,57924.0,-74.0,Gujarat,July,2018
JIO,4G,download,72564.0,-70.0,Gujarat,July,2018
JIO,4G,download,72433.0,-62.0,Gujarat,July,2018
JIO,4G,download,64544.0,-81.0,Gujarat,July,2018
JIO,4G,download,78227.0,-82.0,Gujarat,July,2018
JIO,4G,download,66833.0,-78.0,Gujarat,July,2018
JIO,4G,download,65481.0,-65.0,Gujarat,July,2018
JIO,4G,download,63799.0,-78.0,Gujarat,July,2018
JIO,4G,download,80495.0,-62.0,Gujarat,July,2018
JIO,4G,download,57723.0,-62.0,Gujarat,July,2018
JIO,4G,download,57683.0,-59.0,Gujarat,July,2018
JIO,4G,download,66173.0,-63.0,Gujarat,July,2018
JIO,4G,download,67865.0,-67.0,Gujarat,July,2018
JIO,4G,download,68070.0,-68.0,Gujarat,July,2018
JIO,4G,download,62905.0,-82.0,Gujarat,July,2018
JIO,4G,download,81394.0,-64.0,Gujarat,July,2018
JIO,4G,download,58864.0,-60.0,Gujarat,July,2018
JIO,4G,download,68048.0,-67.0,Gujarat,July,2018
JIO,4G,download,67731.0,-65.0,Gujarat,July,2018
JIO,4G,download,67517.0,-68.0,Gujarat,July,2018
JIO,4G,download,72052.0,-60.0,Gujarat,July,2018
JIO,4G,download,62373.0,-64.0,Gujarat,July,2018
JIO,4G,download,57767.0,-59.0,Gujarat,July,2018
JIO,4G,download,61747.0,-77.0,Gujarat,July,2018
JIO,4G,download,66957.0,-82.0,Gujarat,July,2018
JIO,4G,download,60382.0,-66.0,Gujarat,July,2018
JIO,4G,download,67868.0,-74.0,Gujarat,July,2018
JIO,4G,download,65538.0,-74.0,Gujarat,July,2018
JIO,4G,download,77715.0,-67.0,Gujarat,July,2018
JIO,4G,download,73017.0,-60.0,Gujarat,July,2018
JIO,4G,download,66812.0,-82.0,Gujarat,July,2018
JIO,4G,download,58144.0,-62.0,Gujarat,July,2018
JIO,4G,download,67927.0,-59.0,Gujarat,July,2018
JIO,4G,download,73575.0,-61.0,Gujarat,July,2018
JIO,4G,download,76204.0,-62.0,Gujarat,July,2018
JIO,4G,download,70005.0,-61.0,Gujarat,July,2018
JIO,4G,download,64320.0,-82.0,Gujarat,July,2018
JIO,4G,download,62455.0,-64.0,Gujarat,July,2018
JIO,4G,download,67508.0,-65.0,Gujarat,July,2018
JIO,4G,download,58539.0,-60.0,Gujarat,July,2018
JIO,4G,download,73640.0,-62.0,Gujarat,July,2018
JIO,4G,download,66915.0,-77.0,Gujarat,July,2018
JIO,4G,download,68186.0,-65.0,Gujarat,July,2018
JIO,4G,download,57820.0,-61.0,Gujarat,July,2018
JIO,4G,download,77450.0,-59.0,Gujarat,July,2018
JIO,4G,download,60535.0,-67.0,Gujarat,July,2018
JIO,4G,download,60575.0,-60.0,Gujarat,July,2018
JIO,4G,download,62855.0,-84.0,Gujarat,July,2018
JIO,4G,download,67670.0,-67.0,Gujarat,July,2018
JIO,4G,download,66876.0,-66.0,Gujarat,July,2018
JIO,4G,download,78406.0,-59.0,Gujarat,July,2018
JIO,4G,download,73979.0,-60.0,Gujarat,July,2018
JIO,4G,download,66545.0,-74.0,Gujarat,July,2018
JIO,4G,download,74801.0,-59.0,Gujarat,July,2018
JIO,4G,download,67864.0,-74.0,Gujarat,July,2018
JIO,4G,download,67227.0,-65.0,Gujarat,July,2018
JIO,4G,download,62845.0,-75.0,Gujarat,July,2018
JIO,4G,download,74978.00000000001,-61.0,Gujarat,July,2018
JIO,4G,download,60099.0,-65.0,Gujarat,July,2018
JIO,4G,download,67996.0,-77.0,Gujarat,July,2018
JIO,4G,download,62386.0,-60.0,Gujarat,July,2018
JIO,4G,download,58469.0,-60.0,Gujarat,July,2018
JIO,4G,download,58152.0,-58.0,Gujarat,July,2018
JIO,4G,download,62926.0,-82.0,Gujarat,July,2018
JIO,4G,download,79462.0,-66.0,Gujarat,July,2018
JIO,4G,download,72678.0,-61.0,Gujarat,July,2018
JIO,4G,download,67626.0,-67.0,Gujarat,July,2018
JIO,4G,download,66890.0,-66.0,Gujarat,July,2018
JIO,4G,download,74976.0,-62.0,Gujarat,July,2018
JIO,4G,download,67581.0,-67.0,Gujarat,July,2018
JIO,4G,download,58746.0,-59.0,Gujarat,July,2018
JIO,4G,download,68418.0,-67.0,Gujarat,July,2018
JIO,4G,download,68463.0,-62.0,Gujarat,July,2018
JIO,4G,download,68024.0,-77.0,Gujarat,July,2018
JIO,4G,download,66955.0,-81.0,Gujarat,July,2018
JIO,4G,download,67616.0,-77.0,Gujarat,July,2018
JIO,4G,download,61779.0,-62.0,Gujarat,July,2018
JIO,4G,download,80273.0,-67.0,Gujarat,July,2018
JIO,4G,download,67428.0,-82.0,Gujarat,July,2018
JIO,4G,download,66131.0,-74.0,Gujarat,July,2018
JIO,4G,download,67268.0,-66.0,Gujarat,July,2018
JIO,4G,download,58636.0,-65.0,Gujarat,July,2018
JIO,4G,download,59219.0,-59.0,Gujarat,July,2018
JIO,4G,download,57792.0,-59.0,Gujarat,July,2018
JIO,4G,download,67593.0,-74.0,Gujarat,July,2018
JIO,4G,download,65970.0,-74.0,Gujarat,July,2018
JIO,4G,download,67013.0,-77.0,Gujarat,July,2018
JIO,4G,download,71240.0,-62.0,Gujarat,July,2018
JIO,4G,download,66509.0,-81.0,Gujarat,July,2018
JIO,4G,download,59738.0,-60.0,Gujarat,July,2018
JIO,4G,download,75263.0,-60.0,Gujarat,July,2018
JIO,4G,download,58429.0,-73.0,Gujarat,July,2018
JIO,4G,download,67514.0,-82.0,Gujarat,July,2018
JIO,4G,download,67793.0,-74.0,Gujarat,July,2018
JIO,4G,download,80163.0,-65.0,Gujarat,July,2018
JIO,4G,download,67983.0,-65.0,Gujarat,July,2018
JIO,4G,download,59062.0,-59.0,Gujarat,July,2018
JIO,4G,download,68855.0,-59.0,Gujarat,July,2018
JIO,4G,download,76689.0,-59.0,Gujarat,July,2018
JIO,4G,download,74363.00000000001,-59.0,Gujarat,July,2018
JIO,4G,download,59627.0,-70.0,Gujarat,July,2018
JIO,4G,download,57792.0,-68.0,Gujarat,July,2018
JIO,4G,download,67185.0,-82.0,Gujarat,July,2018
JIO,4G,download,67947.0,-67.0,Gujarat,July,2018
JIO,4G,download,73264.0,-59.0,Gujarat,July,2018
JIO,4G,download,74377.00000000001,-62.0,Gujarat,July,2018
JIO,4G,download,74256.0,-62.0,Gujarat,July,2018
JIO,4G,download,72135.0,-62.0,Gujarat,July,2018
JIO,4G,download,67801.0,-60.0,Gujarat,July,2018
JIO,4G,download,74256.0,-60.0,Gujarat,July,2018
JIO,4G,download,65769.0,-82.0,Gujarat,July,2018
JIO,4G,download,72545.0,-62.0,Gujarat,July,2018
JIO,4G,download,66910.0,-77.0,Gujarat,July,2018
JIO,4G,download,74040.0,-59.0,Gujarat,July,2018
JIO,4G,download,59906.0,-65.0,Gujarat,July,2018
JIO,4G,download,62806.0,-81.0,Gujarat,July,2018
JIO,4G,download,76549.0,-62.0,Gujarat,July,2018
JIO,4G,download,67970.0,-65.0,Gujarat,July,2018
JIO,4G,download,58003.0,-70.0,Gujarat,July,2018
JIO,4G,download,65170.0,-75.0,Gujarat,July,2018
JIO,4G,download,67832.0,-65.0,Gujarat,July,2018
JIO,4G,download,60721.0,-65.0,Gujarat,July,2018
JIO,4G,download,62360.0,-85.0,Gujarat,July,2018
JIO,4G,download,58947.0,-60.0,Gujarat,July,2018
JIO,4G,download,66427.0,-78.0,Gujarat,July,2018
JIO,4G,download,67423.0,-63.0,Gujarat,July,2018
JIO,4G,download,68879.0,-72.0,Gujarat,July,2018
JIO,4G,download,71363.0,-72.0,Gujarat,July,2018
JIO,4G,download,66862.0,-77.0,Gujarat,July,2018
JIO,4G,download,68177.0,-65.0,Gujarat,July,2018
JIO,4G,download,72524.0,-62.0,Gujarat,July,2018
JIO,4G,download,65991.0,-67.0,Gujarat,July,2018
JIO,4G,download,57974.0,-71.0,Gujarat,July,2018
JIO,4G,download,78554.0,-77.0,Gujarat,July,2018
JIO,4G,download,67383.0,-65.0,Gujarat,July,2018
JIO,4G,download,73426.0,-59.0,Gujarat,July,2018
JIO,4G,download,70513.0,-61.0,Gujarat,July,2018
JIO,4G,download,63725.0,-77.0,Gujarat,July,2018
JIO,4G,download,57585.0,-62.0,Gujarat,July,2018
JIO,4G,download,59915.0,-74.0,Gujarat,July,2018
JIO,4G,download,67217.0,-90.0,Gujarat,July,2018
JIO,4G,download,75079.0,-59.0,Gujarat,July,2018
JIO,4G,download,57857.0,-60.0,Gujarat,July,2018
JIO,4G,download,59632.0,-78.0,Gujarat,July,2018
JIO,4G,download,66411.0,-83.0,Gujarat,July,2018
JIO,4G,download,63531.0,-64.0,Gujarat,July,2018
JIO,4G,download,80012.0,-65.0,Gujarat,July,2018
JIO,4G,download,81141.0,-74.0,Gujarat,July,2018
JIO,4G,download,67486.0,-77.0,Gujarat,July,2018
